lambda,1568303385,1568303587,1568303689,1568303791,1568303893,1568303995,1568304097,1568304199
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.036440756,0.006,0.007,0.005,0.011,0.01,0.009,0.01,0.007
200.434693323,0.012,0.015,0.01,0.023,0.019,0.019,0.019,0.014
200.736401216,0.018,0.022,0.016,0.034,0.029,0.028,0.029,0.022
201.026102034,0.025,0.03,0.021,0.046,0.039,0.038,0.038,0.029
201.310069196,0.031,0.037,0.026,0.057,0.049,0.047,0.048,0.036
201.089898625,0.037,0.045,0.031,0.069,0.058,0.056,0.058,0.043
201.571948976,0.043,0.052,0.036,0.08,0.068,0.066,0.067,0.051
201.88407568,0.049,0.06,0.041,0.092,0.078,0.075,0.077,0.058
201.692946461,0.055,0.067,0.047,0.103,0.087,0.084,0.086,0.065
202.87340239,0.061,0.074,0.052,0.115,0.097,0.094,0.096,0.072
202.28997425,0.067,0.082,0.057,0.126,0.107,0.103,0.105,0.079
202.805558345,0.074,0.089,0.062,0.138,0.117,0.112,0.115,0.087
202.869293414,0.08,0.097,0.067,0.149,0.126,0.122,0.124,0.094
202.090880763,0.086,0.104,0.072,0.16,0.136,0.131,0.134,0.101
203.111432343,0.092,0.112,0.077,0.172,0.145,0.14,0.144,0.108
203.09497851,0.098,0.119,0.083,0.183,0.155,0.15,0.153,0.115
203.371650544,0.104,0.126,0.088,0.194,0.165,0.159,0.163,0.122
203.769466024,0.11,0.134,0.093,0.205,0.174,0.168,0.172,0.13
203.48028442,0.116,0.141,0.098,0.217,0.184,0.177,0.181,0.137
204.819171672,0.122,0.149,0.103,0.228,0.193,0.187,0.191,0.144
204.589220542,0.128,0.156,0.108,0.239,0.203,0.196,0.2,0.151
204.01957314,0.135,0.163,0.113,0.25,0.212,0.205,0.21,0.158
205.29002821,0.141,0.171,0.119,0.261,0.222,0.214,0.219,0.165
205.16468947,0.147,0.178,0.124,0.272,0.231,0.223,0.228,0.173
205.580041937,0.153,0.185,0.129,0.283,0.241,0.232,0.238,0.18
205.5907384,0.159,0.193,0.134,0.294,0.25,0.242,0.247,0.187
205.697348205,0.165,0.2,0.139,0.305,0.26,0.251,0.256,0.194
206.312284256,0.171,0.207,0.144,0.316,0.269,0.26,0.266,0.201
206.339288308,0.177,0.214,0.149,0.327,0.278,0.269,0.275,0.208
206.776340457,0.183,0.222,0.154,0.338,0.288,0.278,0.284,0.215
206.78722268,0.189,0.229,0.16,0.349,0.297,0.287,0.293,0.222
